
Stoke City  VS.  Arsenal:
M  9  Michu
M  24  Ki Sung-Yueng
F  10  Danny Graham
F  11  Pablo
F  12  Nathan Dyer

Sunderland  VS.  Wigan Athletic:
G  22  Simon Mignolet
D  3  Danny Rose
D  8  Craig Gardner
D  16  John O'Shea
D  19  Titus Bramble
M  7  Sebastian Larsson
M  14  Jack Colback
M  21  Adam Johnson
M  23  James McClean
F  26  Steven Fletcher
F  28  Stephane Sessegnon
--------------------------
G  26  Ali Al Habsi
D  5  Gary Caldwell
D  21  Ivan Ramis
D  31  Maynor Figueroa
M  4  James McCarthy
M  16  James McArthur
M  17  Emmerson Boyce
M  22  Jean Beausejour
F  2  Arouna Kon
F  10  Shaun Maloney
F  14  Jordi Gmez

Manchester United  VS.  Tottenham Hotspur:
G  13  Anders Lindegaard
D  2  Rafael
D  3  Patrice Evra
D  5  Rio Ferdinand
D  6  Jonathan Evans
M  11  Ryan Giggs
M  16  Michael Carrick
M  17  Nani
M  22  Paul Scholes
F  20  Robin Van Persie
F  26  Shinji Kagawa
--------------------------
G  24  Brad Friedel
D  5  Jan Vertonghen
D  13  William Gallas
D  28  Kyle Walker
D  33  Steven Caulker
M  2  Clint Dempsey
M  7  Aaron Lennon
M  11  Gareth Bale
M  19  Mousa Dembele
M  30  Sandro
F  18  Jermain Defoe

Liverpool  VS.  Manchester United:
G  25  Pepe Reina
D  2  Glen Johnson
D  5  Daniel Agger
D  34  Martin Kelly
D  37  Martin Skrtel
M  8  Steven Gerrard
M  24  Joe Allen
M  29  Fabio Borini
M  31  Raheem Sterling
F  7  Luis Surez
F  33  Jonjo Shelvey
--------------------------
G  13  Anders Lindegaard
D  2  Rafael
D  3  Patrice Evra
D  5  Rio Ferdinand
D  6  Jonathan Evans
M  7  Antonio Valencia
M  11  Ryan Giggs
M  16  Michael Carrick
M  17  Nani
F  20  Robin Van Persie
F  26  Shinji Kagawa

Newcastle United  VS.  Norwich City:
G  37  Steve Harper
D  3  Davide Santon
D  6  Michael Williamson
D  14  James Perch
D  27  Steven Taylor
M  4  Yohan Cabaye
M  8  Vurnon Anita
M  10  Hatem Ben Arfa
M  18  Jons Gutirrez
F  9  Papiss Demba Cisse
F  19  Demba Ba
--------------------------
G  1  John Ruddy
D  2  Russell Martin
D  5  Sebastien Bassong
D  18  Javier Garrido
D  20  Leon Barnett
M  4  Bradley Johnson
M  7  Robert Snodgrass
M  8  Jonathan Howson
M  11  Andrew Surman
M  14  Wesley Hoolahan
F  16  Steve Morison

Manchester City  VS.  Arsenal:
G  1  Joe Hart
D  4  Vincent Kompany
D  5  Pablo Zabaleta
D  6  Joleon Lescott
D  22  Gal Clichy
M  11  Scott Sinclair
M  14  Javi Garcia
M  21  David Silva
M  42  Yaya Tour
F  10  Edin Dzeko
F  16  Sergio Agero
--------------------------
G  24  Vito Mannone
D  4  Per Mertesacker
D  6  Laurent Koscielny
D  25  Carl Jenkinson
D  28  Kieran Gibbs
M  2  Abou Diaby
M  8  Mikel Arteta
M  9  Lukas Podolski
M  16  Aaron Ramsey
F  19  Santi Cazorla
F  27  Gervinho

Tottenham Hotspur  VS.  Queens Park Rangers:
G  24  Brad Friedel
D  5  Jan Vertonghen
D  11  Gareth Bale
D  13  William Gallas
D  28  Kyle Walker
M  2  Clint Dempsey
M  7  Aaron Lennon
M  19  Mousa Dembele
M  30  Sandro
F  18  Jermain Defoe
F  22  Gylfi Sigurdsson
--------------------------
G  33  Jlio Csar
D  6  Clint Hill
D  15  Nedum Onuoha
D  17  Ryan Nelsen
D  19  Jos Bosingwa
M  7  Park Ji-Sung
M  11  Shaun Wright-Phillips
M  14  Esteban Granero
M  32  Alejandro Damian Faurlin
F  23  David Hoilett
F  25  Bobby Zamora

Swansea City  VS.  Everton:
G  1  Michel Vorm
D  5  Alan Tate
D  6  Ashley Williams
D  22  Angel Rangel
D  33  Ben Davies
M  9  Michu
M  11  Pablo
M  15  Wayne Routledge
M  20  Jonathan De Guzman
M  24  Ki Sung-Yueng
F  10  Danny Graham
--------------------------
G  24  Tim Howard
D  3  Leighton Baines
D  5  John Heitinga
D  6  Phil Jagielka
D  23  Seamus Coleman
M  11  Kevin Mirallas
M  18  Phil Neville
M  21  Leon Osman
M  22  Steven Pienaar
F  25  Marouane Fellaini
F  28  Victor Anichebe

Chelsea  VS.  Stoke City:
G  1  Petr Cech
D  2  Branislav Ivanovic
D  3  Ashley Cole
D  4  David Luiz
D  24  Gary Cahill
M  7  Ramires
M  10  Juan Mata
M  12  John Mikel Obi
M  17  Eden Hazard
F  9  Fernando Torres
F  11  Oscar
--------------------------
G  1  Asmir Begovic
D  2  Geoff Cameron
D  4  Robert Huth
D  12  Marc Wilson
D  17  Ryan Shawcross
M  6  Glenn Whelan
M  15  Steven Nzonzi
M  16  Charlie Adam
M  19  Jonathan Walters
M  21  Michael Kightly
F  25  Peter Crouch

Southampton  VS.  Aston Villa:
G  12  Paulo Gazzaniga
D  2  Nathaniel Clyne
D  3  Maya Yoshida
D  6  Jose Fonte
D  13  Daniel Fox
M  4  Morgan Schneiderlin
M  8  Steven Davis
M  10  Gaston Ramirez
M  20  Adam Lallana
M  42  Jason Puncheon
F  7  Rickie Lambert
--------------------------
G  22  Brad Guzan
D  4  Ron Vlaar
D  6  Ciaran Clark
D  30  Eric Lichaj
D  34  Matthew Lowton
M  7  Stephen Ireland
M  8  Karim El Ahmadi
M  14  Brett Holman
M  25  Barry Bannan
F  9  Darren Bent
F  20  Christian Benteke

West Bromwich Albion  VS.  Reading:
G  1  Ben Foster
D  3  Jonas Olsson
D  6  Liam Ridgewell
D  23  Gareth McAuley
D  28  Billy Jones
M  5  Claudio Yacob
M  7  James Morrison
M  11  Chris Brunt
M  21  Youssuf Mulumbu
M  22  Zoltan Gera
F  20  Romelu Lukaku
--------------------------
G  21  Alex McCarthy
D  2  Chris Gunter
D  3  Nicky Shorey
D  5  Alex Pearce
D  17  Kaspars Gorkss
M  8  Mikele Leigertwood
M  11  Jobi McAnuff
M  12  Garath McCleary
M  20  Danny Guthrie
F  7  Pavel Pogrebnyak
F  9  Adam Le Fondre

West Ham United  VS.  Sunderland:
G  22  Jussi Jaaskelainen
D  2  Winston Reid
D  17  Joey O'Brien
D  19  James Collins
D  20  Guy Demel
M  4  Kevin Nolan
M  12  Ricardo Vaz Te
M  14  Matthew Taylor
M  16  Mark Noble
M  21  Mohamed Diame
F  9  Carlton Cole
--------------------------
G  22  Simon Mignolet
D  3  Danny Rose
D  8  Craig Gardner
D  16  John O'Shea
D  19  Titus Bramble
M  6  Lee Cattermole
M  7  Sebastian Larsson
M  14  Jack Colback
M  23  James McClean
F  26  Steven Fletcher
F  28  Stephane Sessegnon

Wigan Athletic  VS.  Fulham:
G  26  Ali Al Habsi
