
Real Valladolid  VS.  Levante:
D  15  Andoni Iraola
D  18  Carlos Gurpegui
D  22  Xabier Castillo
M  8  Ander Iturraspe
M  10  Oscar de Marcos
M  14  Markel Susaeta
M  16  Ismael Lpez Blanco
M  19  Iker Munian
F  20  Aritz Aduriz

Sevilla FC  VS.  Barcelona:
G  1  Andrs Palop
D  3  Fernando Navarro
D  4  Emir Spahic
D  21  Cicinho
D  24  Alberto Bota
M  8  Gary Medel
M  11  Ivan Rakitic
M  12  Hedwiges Maduro
F  7  Jess Navas
F  9  lvaro Negredo
F  15  Piotr Trochowski
--------------------------
G  1  Victor Valds
D  2  Dani Alves
D  14  Javier Mascherano
D  18  Jordi Alba
D  25  Alex Song
M  4  Cesc Fbregas
M  6  Xavi
M  16  Sergio Busquets
F  9  Alexis Snchez
F  10  Lionel Messi
F  17  Pedro

Rayo Vallecano  VS.  Real Madrid:
G  1  Rubn
D  2  Tito
D  3  Casado
D  4  Mikel Labaka
D  16  Jordi Amat
M  9  Jose Carlos da Silva
M  11  Alejandro Dominguez
M  18  Javi Fuego
M  19  Lass
F  23  Andrija Delibasic
F  29  Leo Baptistao
--------------------------
G  1  Iker Casillas
D  3  Pepe
D  4  Sergio Ramos
D  12  Marcelo
D  17  lvaro Arbeloa
M  7  Cristiano Ronaldo
M  14  Xabi Alonso
M  15  Michael Essien
M  19  Luka Modric
M  22  ngel Di Mara
F  9  Karim Benzema

Deportivo La Corua  VS.  Sevilla FC:
G  1  Daniel Aranzuba
D  2  Manuel Pablo
D  3  Evaldo
D  6  Aythami Artiles Oliva
D  24  Carlos Marchena
M  9  Pizzi
M  10  Juan Dominguez
M  14  Abel Aguilar
M  16  Bruno Gama
M  21  Juan Carlos Valern
F  11  Riki
--------------------------
G  1  Andrs Palop
D  3  Fernando Navarro
D  4  Emir Spahic
D  21  Cicinho
D  24  Alberto Bota
M  7  Jess Navas
M  8  Gary Medel
M  11  Ivan Rakitic
M  12  Hedwiges Maduro
M  15  Piotr Trochowski
F  9  lvaro Negredo

Mallorca  VS.  Valencia:
G  13  Dudu Aouate
D  4  Anderson Conceicao
D  6  Antonio Lpez
D  14  Pedro Tunon Geromel
D  27  Ximo Navarro
M  5  Toms Pina
M  7  Pereira
M  8  Emilio Nsue
M  11  Javier Moreno Marquez
F  10  Tomer Hemed
F  18  Vctor Casadess
--------------------------
G  1  Diego Alves
D  3  Aly Cissokho
D  4  Adil Rami
D  12  Joao Pereira
D  18  Victor Ruiz
M  8  Sofiane Feghouli
M  15  Jonathan Viera
M  16  Nelson Haedo Valdez
M  21  Daniel Parejo
M  24  Tino Costa
F  9  Roberto Soldado

Levante  VS.  Real Sociedad:
G  1  Gustavo Munua
D  4  David Navarro
D  12  Juanfran
D  18  Sergio Ballesteros
D  22  Christian Lell
M  7  Jose Barkero
M  8  Nabil El Zhar
M  10  Vicente Iborra de la Fuente
M  20  Juanlu
M  23  Pape Diop
F  29  Rubn Garca
--------------------------
G  1  Claudio Bravo
D  3  Mikel Gonzalez
D  6  Iigo Martnez
D  22  Daniel Estrada
D  24  Alberto de la Bella
M  5  Markel Bergara Larraaga
M  8  Asier Illarramendi
M  11  Carlos Vela
M  17  David Zurutuza
M  20  Jose Angel
F  7  Antoine Griezmann

Atletico Madrid  VS.  Real Valladolid:
G  13  Thibaut Courtois
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  10  Arda Turan
M  14  Gabi
F  9  Radamel Falcao
F  19  Diego Costa
--------------------------
G  1  Jaime Jimnez Merlo
D  2  Antonio Rukavina
D  4  Marc Valiente
D  5  Henrique Sereno Fonseca
D  24  Mikel Balenziaga
M  10  scar Gonzlez
M  14  Omar Ramos
M  15  Alberto Bueno
M  16  Lluis Sastre
M  22  Victor Perez
F  9  Javi Guerra

Athletic Bilbao  VS.  Malaga:
G  13  Ral
D  15  Andoni Iraola
D  18  Carlos Gurpegui
D  22  Xabier Castillo
D  23  Borja Ekiza
M  8  Ander Iturraspe
M  10  Oscar de Marcos
M  14  Markel Susaeta
M  16  Ismael Lpez Blanco
M  19  Iker Munian
F  20  Aritz Aduriz
--------------------------
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
